YEAR,VALUE
2005,19.0
2006,17.8
2007,15.3
2008,15.0
2009,13.7
2010,14.1
2011,15.1
2012,15.5
2013,15.2
2014,14.6
2015,13.6
2016,13.0
2017,11.5
2018,10.8
2019,10.7
2020,10.4
