YEAR,SPLS
2005,28.09
2006,28.14
2007,28.49
2008,28.68
2009,28.62
2010,29.01
2011,28.48
2012,28.64
2013,28.58
2014,28.94
2015,29.12
2016,28.95
2017,29.43
2018,29.52
2019,29.59
2020,30.09
