YEAR,SPLS
2005,25.23
2006,25.66
2007,25.6
2008,26.83
2009,27.38
2010,27.17
2011,27.35
2012,27.44
2013,27.34
2014,27.77
2015,27.73
2016,28.24
2017,28.23
2018,28.47
2019,28.14
2020,28.86
