YEAR,VALUE
2005,32.1
2006,31.1
2007,29.8
2008,29.1
2009,30.2
2010,30.5
2011,32.2
2012,34.0
2013,36.0
2014,32.4
2015,28.9
2016,27.2
2017,26.3
2018,20.4
2019,19.1
2020,17.5
