YEAR,VALUE
2005,31.6
2006,25.8
2007,20.1
2008,19.3
2009,18.5
2010,20.2
2011,20.6
2012,19.9
2013,19.4
2014,18.1
2015,17.8
2016,17.6
2017,15.5
2018,15.2
2019,15.3
2020,15.1
