YEAR,VALUE
2005,61.4
2006,58.1
2007,57.9
2008,39.5
2009,40.6
2010,45
2011,45.2
2012,45.6
2013,44.3
2014,36.4
2015,37.4
2016,37.2
2017,34.8
2018,28.3
2019,27.3
2020,25.9
