YEAR,SPLS
2005,28.7
2006,28.7
2007,28.76
2008,28.8
2009,29.28
2010,29.62
2011,29.5
2012,29.68
2013,29.52
2014,29.46
2015,29.69
2016,29.87
2017,30.24
2018,29.98
2019,29.8
2020,29.98
