YEAR,VALUE
2005,45.1
2006,43.3
2007,42.9
2008,40.8
2009,40.7
2010,39.9
2011,39.7
2012,42.3
2013,40.7
2014,38.7
2015,35.7
2016,37.0
2017,34.6
2018,30.7
2019,29.0
2020,28.2
