YEAR,SPLS
2005,30.24
2006,30.24
2007,30.05
2008,30.32
2009,30.43
2010,30.68
2011,30.49
2012,30.6
2013,30.83
2014,30.94
2015,31.07
2016,31.22
2017,31.5
2018,31.25
2019,31.54
2020,32.28
