YEAR,SPLS
2005,26.79
2006,26.94
2007,27.29
2008,27.62
2009,27.55
2010,27.88
2011,27.86
2012,27.92
2013,27.96
2014,27.99
2015,27.89
2016,27.93
2017,28.04
2018,28.19
2019,28.19
2020,28.38
